Date,Expiry,Strike,Call,Put,Underlying Value
6-Mar-19,28-Mar-19,11750,131.45,885.15,11053
6-Mar-19,28-Mar-19,11800,3.45,706.2,11053
6-Mar-19,28-Mar-19,11850,111.9,963.75,11053
6-Mar-19,28-Mar-19,11900,3.15,805.9,11053
6-Mar-19,28-Mar-19,11950,94.75,1044.75,11053
6-Mar-19,28-Mar-19,12000,2.95,901.95,11053
6-Mar-19,28-Mar-19,12050,79.9,1128.05,11053
6-Mar-19,28-Mar-19,12100,2.5,1228.2,11053
6-Mar-19,28-Mar-19,12150,67.05,1213.35,11053
6-Mar-19,28-Mar-19,12200,1.6,1103.8,11053
6-Mar-19,28-Mar-19,12250,19.95,1300.45,11053
6-Mar-19,28-Mar-19,12300,3,1534.4,11053
6-Mar-19,28-Mar-19,12350,7.4,1319.1,11053
6-Mar-19,28-Mar-19,12400,1.05,1294.35,11053
6-Mar-19,28-Mar-19,12450,7.85,1325.6,11053
6-Mar-19,28-Mar-19,12500,1.35,1399.45,11053
6-Mar-19,28-Mar-19,12550,3.65,1361.2,11053
6-Mar-19,28-Mar-19,12600,198.75,1690.85,11053
6-Mar-19,28-Mar-19,12700,11.4,1808.9,11053
6-Mar-19,28-Mar-19,12800,1.9,1822,11053
6-Mar-19,28-Mar-19,12900,1.05,1797.5,11053
6-Mar-19,28-Mar-19,13000,1,1895.6,11053
6-Mar-19,28-Mar-19,13100,80.35,1680.95,11053
6-Mar-19,28-Mar-19,13200,58.4,1645.8,11053
6-Mar-19,28-Mar-19,13300,1.5,1719.55,11053
6-Mar-19,28-Mar-19,13400,3,1741.3,11053
6-Mar-19,28-Mar-19,13500,0.9,2700,11053
6-Mar-19,28-Mar-19,13600,3,1799,11053
6-Mar-19,28-Mar-19,13700,2,1799.15,11053
6-Mar-19,28-Mar-19,13800,3,1813.35,11053
6-Mar-19,28-Mar-19,13900,19.85,1832.05,11053
6-Mar-19,28-Mar-19,14000,1.6,2894.9,11053
6-Mar-19,28-Mar-19,14100,1,3004.3,11053
6-Mar-19,28-Mar-19,7600,3438.3,1.3,11053
6-Mar-19,28-Mar-19,7700,2970.55,7.75,11053
6-Mar-19,28-Mar-19,7800,2879.65,9.75,11053
6-Mar-19,28-Mar-19,7900,2789.15,0.2,11053
6-Mar-19,28-Mar-19,8000,3059.9,1.85,11053
6-Mar-19,28-Mar-19,8100,2609.7,18.4,11053
6-Mar-19,28-Mar-19,8200,2520.85,22.4,11053
6-Mar-19,28-Mar-19,8300,2432.65,27.1,11053
6-Mar-19,28-Mar-19,8400,2345.25,32.55,11053
6-Mar-19,28-Mar-19,8500,2559.15,2.4,11053
6-Mar-19,28-Mar-19,8600,2455.5,3.05,11053
6-Mar-19,28-Mar-19,8700,2355.5,1.65,11053
6-Mar-19,28-Mar-19,8800,2005,63.8,11053
6-Mar-19,28-Mar-19,8900,1922.75,74.4,11053
6-Mar-19,28-Mar-19,9000,2069.15,3.9,11053
6-Mar-19,28-Mar-19,9100,1732.15,3.4,11053
6-Mar-19,28-Mar-19,9150,1685.15,6.15,11053
6-Mar-19,28-Mar-19,9200,1865,4,11053
6-Mar-19,28-Mar-19,9250,1589.45,8.7,11053
6-Mar-19,28-Mar-19,9300,1756.85,3.95,11053
6-Mar-19,28-Mar-19,9350,1615.35,13.25,11053
6-Mar-19,28-Mar-19,9400,1653.25,4.65,11053
6-Mar-19,28-Mar-19,9450,1521.7,3.05,11053
6-Mar-19,28-Mar-19,9500,1570.35,4.65,11053
6-Mar-19,28-Mar-19,9550,1429.35,23.6,11053
6-Mar-19,28-Mar-19,9600,1474.75,4.85,11053
6-Mar-19,28-Mar-19,9650,1338.45,30.85,11053
6-Mar-19,28-Mar-19,9700,1334,5.7,11053
6-Mar-19,28-Mar-19,9750,1249.25,39.8,11053
6-Mar-19,28-Mar-19,9800,1271.15,6.4,11053
6-Mar-19,28-Mar-19,9850,1162.05,50.75,11053
6-Mar-19,28-Mar-19,9900,1155.7,6.95,11053
6-Mar-19,28-Mar-19,9950,1077.05,63.9,11053
6-Mar-19,28-Mar-19,10000,1084.15,8.05,11053
6-Mar-19,28-Mar-19,10050,994.6,79.6,11053
6-Mar-19,28-Mar-19,10100,965.35,10.05,11053
6-Mar-19,28-Mar-19,10150,766.75,27.5,11053
6-Mar-19,28-Mar-19,10200,881,12.9,11053
6-Mar-19,28-Mar-19,10250,838.2,14.55,11053
6-Mar-19,28-Mar-19,10300,789.95,16.85,11053
6-Mar-19,28-Mar-19,10350,765.15,19.15,11053
6-Mar-19,28-Mar-19,10400,696.4,20.95,11053
6-Mar-19,28-Mar-19,10450,515,25.1,11053
6-Mar-19,28-Mar-19,10500,605.1,28.5,11053
6-Mar-19,28-Mar-19,10550,540.2,32.65,11053
6-Mar-19,28-Mar-19,10600,520.35,37,11053
6-Mar-19,28-Mar-19,10650,470.35,43.05,11053
6-Mar-19,28-Mar-19,10700,429.4,49.25,11053
6-Mar-19,28-Mar-19,10750,386,57.45,11053
6-Mar-19,28-Mar-19,10800,344.3,65,11053
6-Mar-19,28-Mar-19,10850,304,75.7,11053
6-Mar-19,28-Mar-19,10900,267.65,87,11053
6-Mar-19,28-Mar-19,10950,231.8,100.75,11053
6-Mar-19,28-Mar-19,11000,197.55,116.5,11053
6-Mar-19,28-Mar-19,11050,165.7,133.6,11053
6-Mar-19,28-Mar-19,11100,136.4,153.55,11053
6-Mar-19,28-Mar-19,11150,110.85,176.2,11053
6-Mar-19,28-Mar-19,11200,88.25,204.4,11053
6-Mar-19,28-Mar-19,11250,67.3,240,11053
6-Mar-19,28-Mar-19,11300,52.1,265.3,11053
6-Mar-19,28-Mar-19,11350,37.75,300.3,11053
6-Mar-19,28-Mar-19,11400,28.05,338.8,11053
